green_channel,red_channel,ir_channel,Anomaly_ch2,Anomaly_ch2,Anomaly_ch2
19478,28215,57945,0,0,0
19464,28202,57913,0,0,0
19444,28184,57882,0,0,0
19432,28172,57863,0,0,0
19419,28160,57853,0,0,0
19395,28141,57840,0,0,0
19353,28110,57813,0,0,0
19295,28065,57771,0,0,0
19228,28014,57717,0,0,0
19177,27970,57663,0,0,0
19160,27949,57626,0,0,0
19165,27949,57609,0,0,0
19175,27952,57596,0,0,0
19178,27949,57579,0,0,0
19170,27942,57557,0,0,0
19148,27926,57525,0,0,0
19106,27895,57476,0,0,0
19046,27853,57410,0,0,0
18969,27803,57331,0,0,0
18872,27741,57233,0,0,0
18754,27663,57116,0,0,0
18626,27574,56987,0,0,0
18502,27483,56851,0,0,0
18385,27394,56712,0,0,0
18268,27301,56568,0,0,0
18154,27210,56426,0,0,0
18048,27128,56295,0,0,0
17948,27053,56169,0,0,0
17852,26980,56042,0,0,0
17768,26915,55923,0,0,0
17700,26863,55821,0,0,0
17641,26822,55731,0,0,0
17581,26783,55644,0,0,0
17522,26745,55558,0,0,0
17463,26707,55470,0,0,0
17395,26662,55375,0,0,0
17315,26603,55271,0,0,0
17227,26532,55159,0,0,0
17128,26457,55042,0,0,0
17015,26374,54915,0,0,0
16892,26283,54778,0,0,0
16772,26196,54641,0,0,0
16660,26117,54508,0,0,0
16553,26040,54374,0,0,0
16455,25967,54246,0,0,0
16371,25906,54137,0,0,0
16299,25861,54044,0,0,0
16232,25823,53961,0,0,0
16173,25787,53883,0,0,0
16121,25755,53812,0,0,0
16074,25724,53744,0,0,0
16023,25690,53672,0,0,0
15973,25655,53599,0,0,0
15928,25620,53530,0,0,0
15878,25582,53463,0,0,0
15814,25540,53392,0,0,0
15741,25497,53318,0,0,0
15670,25456,53241,0,0,0
15604,25413,53159,0,0,0
15535,25362,53070,0,0,0
15462,25305,52980,0,0,0
15390,25251,52897,0,0,0
15318,25198,52817,0,0,0
15243,25142,52738,0,0,0
15175,25090,52661,0,0,0
15117,25048,52593,0,0,0
15063,25013,52530,0,0,0
15013,24980,52470,0,0,0
14975,24956,52412,0,0,0
14947,24944,52359,0,0,0
14919,24935,52303,0,0,0
14883,24917,52241,0,0,0
14847,24896,52174,0,0,0
14817,24878,52111,0,0,0
14788,24858,52051,0,0,0
14752,24829,51986,0,0,0
14712,24796,51922,0,0,0
14675,24767,51868,0,0,0
14640,24741,51819,0,0,0
14616,24723,51773,0,0,0
14612,24716,51732,0,0,0
14626,24719,51702,0,0,0
14644,24725,51676,0,0,0
14657,24728,51650,0,0,0
14668,24735,51629,0,0,0
14678,24745,51609,0,0,0
14677,24751,51582,0,0,0
14664,24752,51546,0,0,0
14650,24752,51511,0,0,0
14640,24756,51480,0,0,0
14623,24760,51446,0,0,0
14599,24757,51405,0,0,0
14576,24752,51364,0,0,0
14556,24746,51327,0,0,0
14532,24733,51286,0,0,0
14511,24717,51240,0,0,0
14497,24705,51194,0,0,0
14485,24691,51148,0,0,0
14462,24666,51094,0,0,0
14425,24630,51039,0,0,0
14384,24591,50983,0,0,0
14338,24548,50922,0,0,0
14282,24503,50852,0,0,0
14225,24463,50780,0,0,0
14177,24433,50717,0,0,0
14143,24412,50665,0,0,0
14122,24399,50621,0,0,0
14118,24398,50587,0,0,0
14133,24411,50566,0,0,0
14159,24434,50551,0,0,0
14193,24465,50538,0,0,0
14239,24505,50535,0,0,0
14298,24551,50547,0,0,0
14357,24592,50566,0,0,0
14411,24624,50585,0,0,0
14468,24656,50610,0,0,0
14531,24694,50641,0,0,0
14597,24735,50678,0,0,0
14667,24781,50723,0,0,0
14754,24840,50790,0,0,0
14865,24915,50889,0,0,0
14997,25002,51024,0,0,0
15154,25103,51194,0,0,0
15345,25224,51411,0,0,0
15564,25367,51678,0,0,0
15801,25527,51990,0,0,0
16058,25703,52345,0,0,0
16343,25901,52750,0,0,0
16655,26122,53201,0,0,0
16991,26360,53686,0,0,0
17354,26617,54197,0,0,0
17744,26894,54733,0,0,0
18152,27187,55288,0,0,0
18569,27485,55847,0,0,0
18987,27785,56398,0,0,0
19404,28083,56932,0,0,0
19806,28370,57437,0,0,0
20179,28634,57896,0,0,0
20519,28875,58303,0,0,0
20821,29088,58657,0,0,0
21076,29263,58955,0,0,0
21271,29397,59195,0,0,0
21407,29492,59379,0,0,0
21495,29552,59514,0,0,0
21538,29578,59606,0,0,0
21544,29570,59660,0,0,0
21533,29546,59684,0,0,0
21516,29520,59693,0,0,0
21497,29494,59694,0,0,0
21482,29476,59696,0,0,0
21487,29477,59714,0,0,0
21522,29505,59758,0,0,0
21582,29552,59821,0,0,0
21660,29612,59892,0,0,0
21757,29686,59981,0,0,0
21872,29771,60093,0,0,0
21997,29858,60220,0,0,0
22125,29946,60352,0,0,0
22259,30039,60489,0,0,0
22398,30136,60635,0,0,0
22535,30230,60785,0,0,0
22667,30322,60931,0,0,0
22801,30416,61076,0,0,0
22942,30510,61222,0,0,0
23077,30599,61356,0,0,0
23198,30679,61472,0,0,0
23305,30750,61573,0,0,0
23391,30809,61657,0,0,0
23445,30849,61715,0,0,0
23462,30865,61740,0,0,0
23449,30862,61738,0,0,0
23411,30840,61711,0,0,0
23349,30795,61650,0,0,0
23270,30736,61564,0,0,0
23185,30671,61467,0,0,0
23095,30605,61362,0,0,0
