green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2,Anomaly_ch2
12972,41761,64364,0,0,1,0
12896,41692,63916,0,0,1,0
12821,41627,63530,0,0,1,0
12748,41564,63203,0,0,1,0
12675,41502,62932,0,0,1,0
12601,41442,62713,0,0,1,0
12527,41381,62537,0,0,1,0
12452,41320,62393,0,0,1,0
12379,41262,62272,0,0,1,0
12309,41204,62168,0,0,1,0
12241,41145,62072,0,0,1,0
12176,41087,61980,0,0,1,0
12112,41032,61891,0,0,1,0
12047,40977,61804,0,0,1,0
11978,40919,61713,0,0,1,0
11902,40861,61616,0,0,1,0
11823,40801,61513,0,0,1,0
11742,40735,61406,0,0,1,0
11660,40666,61296,0,0,1,0
11578,40596,61184,0,0,1,0
11496,40526,61071,0,0,1,0
11414,40453,60954,0,0,1,0
11330,40377,60830,0,0,1,0
11246,40301,60698,0,0,1,0
11162,40226,60562,0,0,1,0
11074,40149,60425,0,0,1,0
10983,40072,60286,0,0,1,0
10891,39995,60147,0,0,1,0
10799,39918,60009,0,0,1,0
10705,39840,59872,0,0,1,0
10607,39760,59732,0,0,1,0
10512,39682,59590,0,0,1,0
10423,39606,59446,0,0,1,0
10334,39532,59302,0,0,1,0
10247,39457,59159,0,0,1,0
10166,39387,59023,0,0,1,0
10095,39323,58899,0,0,1,0
10034,39269,58790,0,0,1,0
9990,39228,58704,0,0,1,0
9970,39211,58656,0,0,1,0
9984,39224,58662,0,0,1,0
10041,39275,58739,0,0,1,0
10152,39377,58905,0,0,1,0
10329,39537,59171,0,0,1,0
10575,39755,59544,0,0,1,0
10891,40029,60020,0,0,1,0
11275,40362,60597,0,0,1,0
11721,40749,61268,0,0,1,0
12220,41180,60704,0,0,1,0
12754,41639,56827,0,0,1,0
13307,42114,49884,0,0,1,0
13864,42593,41585,0,0,1,0
14411,43064,33131,0,0,1,0
14937,43514,25292,0,0,1,0
15422,43929,18504,0,0,1,0
15854,44301,12960,0,0,1,0
16230,44625,8677,0,0,1,0
16549,44899,5558,0,0,1,0
16812,45125,3441,0,0,1,0
17019,45305,2140,0,0,1,0
17173,45440,1471,0,0,1,0
17279,45535,1259,0,0,1,0
17343,45596,1355,0,0,1,0
17374,45625,1636,0,0,1,0
17375,45629,2008,0,0,1,0
17357,45615,2407,0,0,1,0
17330,45592,2793,0,0,1,0
17297,45562,3135,0,0,1,0
17258,45525,3415,0,0,1,0
17212,45484,3629,0,0,1,0
17163,45443,3780,0,0,1,0
17116,45404,3880,0,0,1,0
17076,45368,3937,0,0,1,0
17043,45335,3960,0,0,1,0
17017,45310,3958,0,0,1,0
16996,45290,3939,0,0,1,0
16976,45267,3903,0,0,1,0
16952,45239,3851,0,0,1,0
16921,45206,3785,0,0,1,0
16881,45165,3706,0,0,1,0
16832,45111,3612,0,0,1,0
16767,45045,3500,0,0,1,0
16684,44968,3366,0,0,1,0
16582,44877,3208,0,0,1,0
16462,44769,3024,0,0,1,0
16327,44650,2821,0,0,1,0
16185,44526,2608,0,0,1,0
16042,44401,2394,0,0,1,0
15900,44277,2186,0,0,1,0
15765,44163,1992,0,0,1,0
15646,44064,1816,0,0,1,0
15548,43977,1665,0,0,1,0
15469,43906,1543,0,0,1,0
15410,43852,1447,0,0,1,0
15372,43815,1379,0,0,1,0
15353,43795,1339,0,0,1,0
15349,43791,1324,0,0,1,0
15356,43800,1329,0,0,1,0
15366,43818,1348,0,0,1,0
15378,43838,1372,0,0,1,0
15392,43856,1393,0,0,1,0
15406,43871,1407,0,0,1,0
15414,43878,1412,0,0,1,0
15412,43874,1407,0,0,1,0
15402,43862,1387,0,0,1,0
15383,43843,1350,0,0,1,0
15354,43815,1297,0,0,1,0
15313,43779,1231,0,0,1,0
15261,43732,1153,0,0,1,0
15200,43675,1060,0,0,1,0
15132,43610,957,0,0,1,0
15056,43537,842,0,0,1,0
14971,43458,715,0,0,1,0
14879,43375,1892,0,0,1,0
14778,43285,6428,0,0,1,0
14668,43187,14059,0,0,1,0
14554,43087,23047,0,0,1,0
14439,42987,32169,0,0,1,0
14324,42886,40629,0,0,1,0
14207,42780,47971,0,0,1,0
14090,42674,53992,0,0,1,0
13972,42569,58668,0,0,1,0
13853,42467,62091,0,0,1,0
13731,42365,64419,0,0,1,0
13611,42264,309,0,0,1,0
13495,42169,1031,0,0,1,0
13386,42077,1233,0,0,1,0
13282,41984,1073,0,0,1,0
13180,41896,680,0,0,1,0
13082,41814,160,0,0,1,0
12986,41736,65126,0,0,1,0
12892,41655,64559,0,0,1,0
12801,41574,64030,0,0,1,0
12717,41498,63565,0,0,1,0
12639,41424,63169,0,0,1,0
12569,41352,62838,0,0,1,0
12502,41287,62567,0,0,1,0
12437,41230,62348,0,0,1,0
12372,41176,62175,0,0,1,0
12306,41124,62038,0,0,1,0
12237,41076,61924,0,0,1,0
12170,41030,61829,0,0,1,0
12105,40985,61746,0,0,1,0
12041,40936,61668,0,0,1,0
11980,40889,61592,0,0,1,0
11922,40844,61517,0,0,1,0
11864,40797,61443,0,0,1,0
11806,40748,61370,0,0,1,0
11747,40698,61295,0,0,1,0
11690,40650,61219,0,0,1,0
11637,40605,61145,0,0,1,0
11586,40561,61070,0,0,1,0
11534,40516,60990,0,0,1,0
11481,40469,60906,0,0,1,0
11428,40422,60822,0,0,1,0
11372,40375,60736,0,0,1,0
11314,40329,60645,0,0,1,0
11253,40281,60546,0,0,1,0
11189,40229,60444,0,0,1,0
11122,40173,60338,0,0,1,0
11051,40113,60231,0,0,1,0
10974,40050,60122,0,0,1,0
10892,39983,60007,0,0,1,0
10809,39912,59886,0,0,1,0
10726,39840,59764,0,0,1,0
10643,39765,59641,0,0,1,0
10557,39688,59516,0,0,1,0
10472,39612,59389,0,0,1,0
10391,39540,59261,0,0,1,0
10314,39471,59136,0,0,1,0
10244,39406,59018,0,0,1,0
10183,39351,58911,0,0,1,0
10140,39316,58827,0,0,1,0
10123,39306,58784,0,0,1,0
10139,39328,58798,0,0,1,0
10198,39386,58882,0,0,1,0
10311,39489,59048,0,0,1,0
10487,39643,59306,0,0,1,0
10728,39853,59666,0,0,1,0
11038,40123,60131,0,0,1,0
11417,40449,60700,0,0,1,0
11859,40825,61365,0,0,1,0
12353,41244,60792,0,0,1,0
12885,41699,56907,0,0,1,0
13440,42177,49954,0,0,1,0
13998,42660,41650,0,0,1,0
14548,43135,33192,0,0,1,0
15077,43590,25355,0,0,1,0
15569,44010,18574,0,0,1,0
16013,44386,13039,0,0,1,0
16398,44712,8759,0,0,1,0
16724,44987,5638,0,0,1,0
16990,45211,3519,0,0,1,0
17197,45387,2222,0,0,1,0
17350,45521,1558,0,0,1,0
17456,45618,1353,0,0,1,0
17524,45682,1459,0,0,1,0
17565,45716,1754,0,0,1,0
17584,45729,2143,0,0,1,0
17587,45727,2558,0,0,1,0
17574,45716,2958,0,0,1,0
17545,45697,3314,0,0,1,0
17508,45672,3606,0,0,1,0
17468,45643,3829,0,0,1,0
17428,45613,3993,0,0,1,0
17392,45581,4104,0,0,1,0
17361,45548,4168,0,0,1,0
17336,45518,4194,0,0,1,0
17315,45493,4194,0,0,1,0
17296,45472,4174,0,0,1,0
17279,45454,4138,0,0,1,0
17258,45434,4092,0,0,1,0
17229,45409,4037,0,0,1,0
17192,45377,3972,0,0,1,0
17149,45338,3893,0,0,1,0
17098,45288,3798,0,0,1,0
17032,45224,3679,0,0,1,0
16947,45143,3534,0,0,1,0
16847,45047,3370,0,0,1,0
16732,44942,3192,0,0,1,0
16607,44833,3004,0,0,1,0
16475,44721,2810,0,0,1,0
16343,44611,2617,0,0,1,0
16218,44507,2435,0,0,1,0
16105,44414,2273,0,0,1,0
16009,44335,2136,0,0,1,0
15934,44276,2026,0,0,1,0
15878,44233,1943,0,0,1,0
15842,44203,1889,0,0,1,0
15826,44187,1861,0,0,1,0
15826,44186,1853,0,0,1,0
15837,44195,1862,0,0,1,0
15855,44210,1883,0,0,1,0
15874,44227,1911,0,0,1,0
15893,44244,1937,0,0,1,0
15908,44257,1955,0,0,1,0
15915,44264,1959,0,0,1,0
15913,44262,1950,0,0,1,0
15902,44250,1929,0,0,1,0
15879,44224,1898,0,0,1,0
15844,44185,1857,0,0,1,0
15799,44140,1804,0,0,1,0
15747,44090,1738,0,0,1,0
15690,44037,1660,0,0,1,0
15629,43980,1570,0,0,1,0
15564,43917,1469,0,0,1,0
15495,43854,1358,0,0,1,0
15420,43790,1238,0,0,1,0
15340,43720,1110,0,0,1,0
15253,43644,974,0,0,1,0
15163,43566,833,0,0,1,0
15071,43485,690,0,0,1,0
14975,43399,1860,0,0,1,0
14874,43312,6398,0,0,1,0
14769,43223,14034,0,0,1,0
14661,43132,23030,0,0,1,0
14552,43038,32159,0,0,1,0
14442,42943,40625,0,0,1,0
14332,42847,47973,0,0,1,0
14223,42753,54002,0,0,1,0
14116,42660,58689,0,0,1,0
14008,42568,62128,0,0,1,0
13899,42476,64481,0,0,1,0
13790,42382,397,0,0,1,0
13682,42285,1141,0,0,1,0
13579,42191,1357,0,0,1,0
13483,42104,1210,0,0,1,0
13391,42020,833,0,0,1,0
13304,41940,332,0,0,1,0
13222,41869,65320,0,0,1,0
13145,41805,64780,0,0,1,0
13070,41746,64282,0,0,1,0
12998,41689,63843,0,0,1,0
12932,41636,63470,0,0,1,0
12873,41587,63164,0,0,1,0
12819,41537,62921,0,0,1,0
12766,41487,62732,0,0,1,0
12712,41441,62589,0,0,1,0
12660,41400,62482,0,0,1,0
12609,41357,62399,0,0,1,0
12558,41312,62329,0,0,1,0
12509,41271,62267,0,0,1,0
12464,41232,62212,0,0,1,0
12419,41191,62156,0,0,1,0
12373,41148,62095,0,0,1,0
12325,41106,62031,0,0,1,0
12272,41062,61962,0,0,1,0
12215,41014,61887,0,0,1,0
12154,40964,61803,0,0,1,0
12093,40915,61713,0,0,1,0
12030,40865,61621,0,0,1,0
11968,40811,61526,0,0,1,0
11905,40757,61428,0,0,1,0
11841,40702,61325,0,0,1,0
11775,40646,61222,0,0,1,0
11705,40586,61117,0,0,1,0
11630,40522,61011,0,0,1,0
11554,40458,60902,0,0,1,0
11475,40392,60790,0,0,1,0
11395,40324,60672,0,0,1,0
11314,40252,60549,0,0,1,0
11232,40178,60423,0,0,1,0
11150,40101,60297,0,0,1,0
11068,40024,60168,0,0,1,0
10985,39951,60041,0,0,1,0
10904,39881,59919,0,0,1,0
10826,39815,59802,0,0,1,0
10748,39751,59686,0,0,1,0
