green_channel,red_channel,ir_channel
26098,51808,19586
26275,51958,19814
26445,52100,20032
26601,52229,20237
26740,52345,20424
26862,52449,20589
26970,52541,20731
27062,52618,20847
27138,52677,20938
27197,52719,21004
27242,52748,21048
27269,52762,21074
27276,52761,21078
27264,52745,21061
27235,52714,21024
27191,52669,20968
27133,52613,20898
27066,52550,20815
26991,52480,20718
26904,52401,20605
26804,52315,20477
26693,52225,20337
26575,52130,20184
26450,52034,20022
26320,51935,19852
26191,51831,19677
26066,51722,19499
25942,51611,19319
25817,51498,19140
25690,51387,18962
25563,51279,18788
25437,51171,18620
25309,51064,18458
25183,50959,18299
25061,50859,18142
24941,50764,17993
24824,50674,17849
24711,50588,17710
24605,50506,17577
24503,50426,17450
24408,50349,17329
24320,50278,17211
24238,50210,17097
24159,50144,16989
24082,50077,16886
24015,50017,16788
23959,49964,16699
23907,49915,16618
23860,49868,16539
23815,49825,16462
23772,49786,16387
23726,49745,16314
23675,49705,16243
23620,49667,16173
23565,49630,16104
23509,49589,16034
23453,49545,15963
23400,49500,15893
23350,49456,15825
23298,49412,15759
23246,49373,15696
23199,49339,15638
23160,49308,15586
23125,49279,15542
23095,49256,15505
23073,49240,15479
23060,49229,15464
23064,49228,15466
23094,49248,15501
