green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2
23124,18119,29667,0,0,0
23100,18098,29624,0,0,0
23075,18084,29590,0,0,0
23040,18063,29551,0,0,0
23009,18034,29502,0,0,0
22993,18011,29464,0,0,0
22975,17998,29445,0,0,0
22940,17977,29417,0,0,0
22902,17949,29371,0,0,0
22876,17931,29326,0,0,0
22850,17920,29287,0,0,0
22809,17900,29237,0,0,0
22768,17870,29179,0,0,0
22739,17846,29136,0,0,0
22705,17828,29105,0,0,0
22661,17801,29063,0,0,0
22624,17769,29014,0,0,0
22602,17748,28974,0,0,0
22575,17733,28940,0,0,0
22537,17710,28895,0,0,0
22505,17682,28847,0,0,0
22486,17663,28817,0,0,0
22463,17650,28795,0,0,0
22431,17628,28761,0,0,0
22405,17604,28723,0,0,0
22390,17594,28700,0,0,0
22370,17590,28682,0,0,0
22346,17575,28650,0,0,0
22330,17560,28617,0,0,0
22320,17557,28598,0,0,0
22300,17553,28581,0,0,0
22268,17535,28547,0,0,0
22246,17511,28511,0,0,0
22230,17495,28487,0,0,0
22207,17481,28464,0,0,0
22182,17464,28430,0,0,0
22166,17453,28397,0,0,0
22152,17454,28380,0,0,0
22130,17451,28363,0,0,0
22106,17435,28332,0,0,0
22097,17421,28304,0,0,0
22092,17417,28287,0,0,0
22078,17410,28265,0,0,0
22065,17396,28233,0,0,0
22059,17388,28207,0,0,0
22049,17384,28193,0,0,0
22024,17372,28170,0,0,0
21999,17349,28134,0,0,0
21989,17333,28107,0,0,0
21980,17327,28097,0,0,0
21958,17319,28081,0,0,0
21938,17307,28057,0,0,0
21931,17301,28042,0,0,0
21921,17299,28032,0,0,0
21900,17288,28009,0,0,0
21881,17272,27976,0,0,0
21874,17266,27954,0,0,0
21866,17264,27942,0,0,0
21850,17255,27923,0,0,0
21843,17243,27899,0,0,0
21846,17242,27887,0,0,0
21842,17245,27883,0,0,0
21827,17238,27863,0,0,0
21816,17226,27834,0,0,0
21813,17221,27818,0,0,0
21803,17219,27808,0,0,0
21786,17210,27782,0,0,0
21781,17202,27751,0,0,0
21782,17208,27734,0,0,0
21769,17210,27718,0,0,0
21743,17194,27687,0,0,0
21721,17171,27653,0,0,0
21710,17162,27639,0,0,0
21705,17165,27637,0,0,0
21710,17170,27634,0,0,0
21739,17183,27646,0,0,0
21787,17217,27691,0,0,0
21838,17260,27759,0,0,0
21899,17300,27833,0,0,0
21980,17349,27925,0,0,0
22077,17414,28046,0,0,0
22180,17486,28180,0,0,0
22300,17558,28318,0,0,0
22443,17642,28478,0,0,0
22592,17743,28666,0,0,0
22734,17844,28859,0,0,0
22880,17939,29049,0,0,0
23038,18039,29253,0,0,0
23188,18147,29466,0,0,0
23317,18247,29665,0,0,0
23443,18332,29843,0,0,0
23574,18417,30021,0,0,0
23696,18504,30200,0,0,0
23795,18580,30356,0,0,0
23885,18644,30487,0,0,0
23975,18709,30615,0,0,0
24051,18770,30743,0,0,0
24109,18813,30851,0,0,0
24166,18844,30935,0,0,0
24227,18878,31014,0,0,0
24279,18915,31088,0,0,0
24314,18942,31140,0,0,0
24342,18958,31174,0,0,0
24366,18974,31206,0,0,0
24373,18983,31229,0,0,0
24363,18977,31227,0,0,0
24358,18967,31212,0,0,0
24363,18967,31208,0,0,0
24357,18969,31206,0,0,0
24335,18957,31186,0,0,0
24312,18938,31155,0,0,0
24292,18925,31132,0,0,0
24264,18910,31110,0,0,0
24233,18883,31072,0,0,0
24217,18860,31036,0,0,0
24211,18853,31016,0,0,0
24195,18847,30999,0,0,0
24170,18828,30969,0,0,0
24149,18806,30934,0,0,0
24133,18793,30907,0,0,0
24115,18782,30878,0,0,0
24097,18766,30839,0,0,0
24090,18756,30806,0,0,0
24085,18757,30789,0,0,0
24069,18754,30768,0,0,0
24052,18742,30737,0,0,0
24043,18734,30714,0,0,0
24032,18730,30703,0,0,0
24011,18719,30683,0,0,0
23995,18699,30650,0,0,0
23992,18689,30626,0,0,0
23989,18689,30614,0,0,0
23973,18683,30594,0,0,0
23959,18669,30563,0,0,0
23959,18663,30543,0,0,0
23955,18662,30532,0,0,0
23939,18654,30515,0,0,0
23931,18643,30492,0,0,0
23937,18644,30487,0,0,0
23941,18655,30495,0,0,0
23934,18659,30497,0,0,0
23934,18658,30493,0,0,0
23947,18666,30502,0,0,0
23955,18678,30520,0,0,0
23957,18680,30528,0,0,0
23968,18678,30531,0,0,0
23988,18690,30549,0,0,0
24001,18709,30577,0,0,0
24007,18719,30595,0,0,0
24024,18725,30611,0,0,0
24052,18740,30642,0,0,0
24067,18754,30672,0,0,0
24070,18756,30681,0,0,0
24080,18757,30682,0,0,0
24100,18768,30697,0,0,0
24116,18784,30718,0,0,0
24127,18792,30727,0,0,0
24140,18798,30732,0,0,0
24152,18807,30745,0,0,0
24148,18809,30751,0,0,0
24132,18795,30735,0,0,0
24121,18779,30716,0,0,0
24111,18773,30711,0,0,0
24092,18766,30707,0,0,0
24071,18753,30694,0,0,0
24057,18741,30682,0,0,0
24041,18735,30681,0,0,0
24012,18721,30668,0,0,0
23980,18696,30636,0,0,0
23962,18679,30606,0,0,0
23944,18670,30584,0,0,0
23910,18652,30551,0,0,0
23874,18624,30506,0,0,0
23851,18604,30470,0,0,0
23827,18596,30445,0,0,0
23792,18582,30410,0,0,0
23759,18558,30362,0,0,0
23738,18541,30323,0,0,0
23715,18530,30294,0,0,0
23684,18511,30257,0,0,0
23661,18487,30212,0,0,0
23650,18474,30180,0,0,0
23635,18468,30161,0,0,0
23607,18453,30132,0,0,0
23581,18428,30095,0,0,0
23561,18409,30066,0,0,0
23533,18392,30038,0,0,0
23497,18365,29996,0,0,0
23472,18340,29952,0,0,0
23457,18331,29925,0,0,0
23434,18324,29901,0,0,0
23397,18302,29858,0,0,0
23363,18270,29802,0,0,0
23337,18248,29758,0,0,0
23305,18232,29720,0,0,0
23268,18210,29672,0,0,0
23242,18188,29625,0,0,0
23223,18178,29591,0,0,0
23191,18166,29557,0,0,0
23153,18140,29505,0,0,0
23124,18114,29454,0,0,0
23102,18100,29423,0,0,0
23075,18088,29400,0,0,0
23051,18069,29369,0,0,0
23036,18051,29340,0,0,0
23022,18043,29324,0,0,0
23001,18034,29303,0,0,0
22982,18015,29269,0,0,0
22973,18000,29241,0,0,0
22962,17994,29226,0,0,0
22938,17985,29204,0,0,0
22916,17969,29171,0,0,0
22904,17956,29142,0,0,0
22887,17945,29121,0,0,0
22853,17926,29089,0,0,0
22822,17901,29048,0,0,0
22806,17888,29018,0,0,0
22792,17884,29000,0,0,0
22769,17874,28974,0,0,0
22751,17857,28940,0,0,0
22740,17848,28917,0,0,0
22725,17848,28904,0,0,0
22701,17840,28882,0,0,0
22683,17827,28853,0,0,0
22680,17824,28838,0,0,0
22674,17826,28830,0,0,0
22655,17818,28807,0,0,0
22638,17803,28777,0,0,0
22628,17793,28755,0,0,0
22612,17784,28735,0,0,0
22584,17765,28700,0,0,0
22563,17743,28662,0,0,0
22554,17735,28641,0,0,0
22540,17730,28625,0,0,0
22514,17714,28595,0,0,0
